absolute_magnitude,velocity,diameter_min,diameter_max,miss_distance_au,is_hazardous
23.2,22.5047298043,0.060891262200000004,0.1361570015,0.3859673451,0
27.9,10.5142813771,0.0069912523,0.0156329154,0.3626875444,0
22.2,12.1643542366,0.096506147,0.2157943048,0.1561846528,0
23.6,21.4005988463,0.0506471459,0.1132504611,0.4580095418,0
23.7,10.0016018779,0.0483676488,0.1081533507,0.365126269,0
26.25,8.4311211439,0.0149470324,0.0334225806,0.3850397766,0
23.0,4.9934395988,0.0667659413,0.1492931834,0.3082760271,0
25.4,6.6183230192,0.022108281,0.049435619300000004,0.3445047596,0
28.5,6.1008140543,0.0053034072000000005,0.011858779100000001,0.3438707306,0
24.27,16.4541987444,0.037201031,0.0831840342,0.4611024559,0
23.96,7.5224273479,0.0429096504,0.0959488953,0.1612814842,0
24.6,15.0850550255,0.0319561887,0.07145621020000001,0.3491802958,0
23.51,28.8598295631,0.052790402900000005,0.1180429295,0.2771581113,0
20.25,13.3432145456,0.2368944994,0.5297122041,0.2796016403,0
24.6,8.5728189058,0.0319561887,0.07145621020000001,0.2989728756,0
23.15,13.0842497943,0.062309601900000004,0.1393285055,0.4406616026,0
24.3,27.7190544842,0.0366906138,0.0820427065,0.4728441294,0
26.0,11.7066620261,0.0167708462,0.0375007522,0.3538332799,0
23.6,6.8929333099,0.0506471459,0.1132504611,0.199445463,0
20.29,23.5482068449,0.2325706875,0.5200438667,0.3717343088,0
20.95,17.352112705,0.1716148941,0.38374256910000004,0.0644470682,1
24.11,7.3011064213,0.0400456158,0.0895447192,0.3299901317,0
24.7,17.294390693,0.0305179233,0.0682401509,0.4432611357,0
25.7,8.7497592805,0.019255507800000002,0.0430566244,0.2259451612,0
27.25,3.5798541817,0.009430939900000001,0.0210882227,0.1175401177,0
25.37,17.0601978331,0.0224158379,0.0501233372,0.0276524322,0
27.2,11.9913238153,0.0096506147,0.0215794305,0.3799221365,0
22.65,8.1899448,0.0784431412,0.1754041962,0.0659926703,0
23.9,11.2887655476,0.04411182,0.09863702810000001,0.4211496594,0
24.8,9.1298549515,0.029144390500000002,0.0651688382,0.3426382755,0
27.4,16.3129860678,0.0088014652,0.019680674500000002,0.4615903522,0
27.6,17.2126686452,0.008027031700000001,0.017948988500000002,0.4783198917,0
22.12,10.2045358708,0.1001278698,0.2238927232,0.0921559367,0
21.32,5.9096126641,0.1447288051,0.32362344660000003,0.1136418864,0
24.02,5.3389061215,0.0417402433,0.0933340215,0.3962564795,0
23.5,7.0084690912,0.0530340723,0.1185877909,0.4972496535,0
27.6,12.1349538636,0.008027031700000001,0.017948988500000002,0.2286035657,0
26.7,9.0327488238,0.0121494041,0.0271668934,0.4917768886,0
24.32,4.2636849414,0.0363542322,0.0812905344,0.1312387462,0
22.84,20.1332531239,0.0718712133,0.1607089186,0.1274727973,0
21.46,8.8970974954,0.135692229,0.303417048,0.1269397848,0
25.2,6.551734907,0.0242412481,0.054205078600000005,0.1864290664,0
26.0,7.2199878003,0.0167708462,0.0375007522,0.3592073073,0
24.5,15.6834260868,0.033462237400000004,0.0748238376,0.2526149056,0
20.95,17.352112705,0.1716148941,0.38374256910000004,0.0644470682,1
20.26,9.8322281887,0.235806068,0.5272783976000001,0.0201320421,1
23.8,20.2237523069,0.046190746000000005,0.1032856481,0.4690860605,0
23.41,7.1607432502,0.0552783379,0.12360612130000001,0.1609862627,0
27.0,5.5440914977,0.0105816886,0.023661375000000002,0.1699368316,0
24.09,22.8116112438,0.0404161533,0.0903732663,0.3554671418,0
22.91,15.6613544445,0.0695913044,0.1556108872,0.1623236252,0
26.9,4.7394514746,0.011080388200000001,0.0247765013,0.1682483041,0
28.2,22.4426069107,0.0060891262,0.0136157002,0.31293778,0
26.02,11.0682516593,0.0166170902,0.0371569432,0.2124538807,0
18.5,36.7673594914,0.5303407233,1.1858779086,0.3884692971,0
20.59,14.9254248006,0.2025606009,0.45293927310000004,0.063253139,1
28.0,16.4984534139,0.006676594100000001,0.014929318300000001,0.1976430156,0
26.1,27.8457854109,0.0160160338,0.0358129403,0.493414493,0
27.7,8.8042214121,0.0076657557000000005,0.0171411509,0.3578602978,0
22.84,20.1332531239,0.0718712133,0.1607089186,0.1274727973,0
21.46,8.8970974954,0.135692229,0.303417048,0.1269397848,0
25.2,6.551734907,0.0242412481,0.054205078600000005,0.1864290664,0
26.0,7.2199878003,0.0167708462,0.0375007522,0.3592073073,0
24.5,15.6834260868,0.033462237400000004,0.0748238376,0.2526149056,0
24.1,13.0447109063,0.040230458000000004,0.0899580388,0.2753368157,0
22.5,15.607413964,0.0840533402,0.18794898240000002,0.3451686884,0
26.7,11.5380780606,0.0121494041,0.0271668934,0.4237736694,0
25.68,13.2030465263,0.0194336768,0.0434550225,0.0403726895,0
24.0,4.7861594093,0.0421264611,0.0941976306,0.4912265713,0
20.88,17.3001955964,0.17723723930000002,0.39631451510000004,0.0207789327,1
26.7,5.7899583679,0.0121494041,0.0271668934,0.2992644941,0
26.0,17.873869265,0.0167708462,0.0375007522,0.1753588433,0
21.4,10.2690653474,0.1394938229,0.3119176705,0.2352014512,0
24.7,6.3714188723,0.0305179233,0.0682401509,0.2680436684,0
22.4,9.7624255637,0.08801465210000001,0.1968067451,0.4724111714,0
29.1,23.1330376355,0.0040230458000000005,0.0089958039,0.3722592815,0
24.5,17.7820273164,0.033462237400000004,0.0748238376,0.3426702962,0
25.2,14.1067854646,0.0242412481,0.054205078600000005,0.3783082891,0
22.44,8.852505864,0.0864082036,0.1932146172,0.4866292894,0
20.14,11.5760295662,0.2492039814,0.5572370428,0.1789830442,0
25.64,2.9301219934,0.0197949759,0.044262911700000004,0.1899453064,0
31.008,1.5637501817,0.0016709174,0.0037362848,0.0025476648,0
23.41,7.1607432502,0.0552783379,0.12360612130000001,0.1609862627,0
27.0,5.5440914977,0.0105816886,0.023661375000000002,0.1699368316,0
22.2,14.459379665,0.096506147,0.2157943048,0.1561197583,0
23.7,10.7198701969,0.0483676488,0.1081533507,0.25377004,0
24.54,8.1555398781,0.0328514828,0.0734581487,0.0658199374,0
28.3,11.91467573,0.0058150704000000004,0.013002892700000001,0.1662023189,0
26.54,18.9568551463,0.0130784109,0.0292442157,0.4862163381,0
22.07,19.7760497625,0.1024601475,0.2291078547,0.3257215996,0
22.4,27.2728253663,0.08801465210000001,0.1968067451,0.4001432266,0
20.19,10.4404750266,0.2435314063,0.5445527791,0.1581788705,1
23.8,6.5321144131,0.046190746000000005,0.1032856481,0.12957265,0
25.6,7.6710451157,0.0201629919,0.0450858206,0.2338255442,0
25.3,11.8819999506,0.023150212200000003,0.0517654482,0.3425185805,0
28.6,14.1503853278,0.0050647146,0.0113250461,0.3671194817,0
24.63,1.9294811154,0.0315177333,0.0704757942,0.1149301182,0
25.54,10.7504606967,0.0207278843,0.0463489584,0.1435091908,0
24.63,1.9290301182,0.0315177333,0.0704757942,0.1148830534,0
24.7,7.9733606788,0.0305179233,0.0682401509,0.2072520919,0
25.9,3.3318085368,0.0175612318,0.0392681082,0.1794618,0
23.5,16.6945611996,0.0530340723,0.1185877909,0.354487761,0
26.1,15.0129204533,0.0160160338,0.0358129403,0.3216506233,0
27.9,6.9569007809,0.0069912523,0.0156329154,0.2421101712,0
24.0,18.9732222,0.0421264611,0.0941976306,0.4974739516,0
26.6,7.9045829495,0.0127219879,0.0284472297,0.0482244077,0
25.5,16.3856674161,0.0211132445,0.0472106499,0.4338226889,0
23.7,15.0360446096,0.0483676488,0.1081533507,0.3962399951,0
21.55,29.646846908,0.1301832102,0.2910985075,0.4559839689,1
26.1,9.8139337663,0.0160160338,0.0358129403,0.3511598289,0
27.1,13.6311335449,0.010105434200000001,0.0225964377,0.2332337695,0
22.6,1.8252657896,0.0802703167,0.1794898848,0.4215887746,0
24.944,6.3983660074,0.0272743856,0.060987380300000005,0.0936318991,0
27.6,6.915721769,0.008027031700000001,0.017948988500000002,0.3532729618,0
24.79,3.6939452072,0.0292789148,0.0654696439,0.1422167715,0
25.3,9.0532131121,0.023150212200000003,0.0517654482,0.0263061399,0
24.4,16.6806349161,0.0350392641,0.0783501764,0.246068805,0
25.8,5.2641041259,0.018388867200000002,0.0411187571,0.2527992253,0
20.02,21.0838603012,0.26336313100000003,0.5888978636000001,0.4634085147,0
24.03,9.9448796174,0.041548464300000004,0.0929051906,0.3418360432,0
27.5,6.3225672806,0.008405334,0.0187948982,0.2095559602,0
20.71,11.8882214026,0.191670368,0.42858797200000004,0.10994845,0
27.7,5.7614698879,0.0076657557000000005,0.0171411509,0.233575423,0
24.22,6.435818836,0.0380675544,0.08512163930000001,0.1323003193,0
21.98,12.9265806375,0.1067959975,0.2388031102,0.0174683957,1
21.81,11.2514904512,0.1154928176,0.258249791,0.1990249852,0
26.5,6.8053607781,0.0133215567,0.0297879063,0.142651308,0
22.52,12.0206399242,0.0832827346,0.1862258558,0.1224745992,0
22.3,20.1875872728,0.0921626549,0.2060819612,0.3720074183,0
23.54,11.9429870905,0.0520660914,0.1164233197,0.3928855106,0
24.14,8.2556314574,0.0394961694,0.0883161196,0.445301988,0
17.67,34.3334763482,0.777239702,1.7379608086,0.1141162576,1
27.6,9.7960323936,0.008027031700000001,0.017948988500000002,0.2663559153,0
20.86,8.7405452936,0.1788771952,0.3999815682,0.1769027667,0
24.7,7.9733606788,0.0305179233,0.0682401509,0.2072520919,0
25.9,3.3318085368,0.0175612318,0.0392681082,0.1794618,0
23.5,16.6945611996,0.0530340723,0.1185877909,0.354487761,0
26.1,15.0129204533,0.0160160338,0.0358129403,0.3216506233,0
27.9,6.9569007809,0.0069912523,0.0156329154,0.2421101712,0
24.0,18.9732222,0.0421264611,0.0941976306,0.4974739516,0
26.6,7.9045829495,0.0127219879,0.0284472297,0.0482244077,0
25.5,16.3856674161,0.0211132445,0.0472106499,0.4338226889,0
23.7,15.0360446096,0.0483676488,0.1081533507,0.3962399951,0
19.87,6.6000666526,0.2821986791,0.6310154296,0.1355614336,0
22.16,20.3216843202,0.09830033020000001,0.2198062205,0.1349357,0
25.5,16.2567967061,0.0211132445,0.0472106499,0.1898392872,0
23.77,4.8655238225,0.0468333233,0.1047224945,0.1887458206,0
31.008,1.9438646702,0.0016709174,0.0037362848,0.0010083142,0
22.17,7.0166509333,0.09784868120000001,0.2187963027,0.0689590056,0
23.7,18.0555496528,0.0483676488,0.1081533507,0.3623326794,0
22.1,12.6521407158,0.1010543415,0.2259643771,0.0336383501,0
16.17,9.4992774363,1.5507970871999999,3.4676877062,0.3554194905,0
22.8,8.1693309299,0.0732073989,0.1636967205,0.4414907615,0
21.41,10.2070576408,0.138852907,0.310484539,0.1436059341,1
24.4,11.3253183469,0.0350392641,0.0783501764,0.1213865052,0
23.12,8.5484889225,0.0631764148,0.1412667581,0.0416105479,0
26.1,6.8822559883,0.0160160338,0.0358129403,0.3984858504,0
24.2,6.9816690496,0.038419789100000004,0.08590926010000001,0.0623185955,0
23.9,16.3494823018,0.04411182,0.09863702810000001,0.4341187619,0
21.5,27.3870435836,0.1332155667,0.29787906280000004,0.3657671261,1
28.9,2.8497795305,0.0044111820000000005,0.0098637028,0.143976809,0
22.21,19.7769620422,0.0960627415,0.2148028201,0.1016001215,0
22.52,12.0206399242,0.0832827346,0.1862258558,0.1224745992,0
22.3,20.1875872728,0.0921626549,0.2060819612,0.3720074183,0
23.54,11.9429870905,0.0520660914,0.1164233197,0.3928855106,0
24.14,8.2556314574,0.0394961694,0.0883161196,0.445301988,0
24.48,12.6733944191,0.033771859700000004,0.0755161741,0.2016100648,0
24.3,15.5337003587,0.0366906138,0.0820427065,0.4435506299,0
24.05,13.1749183967,0.0411675457,0.09205343070000001,0.4466814429,0
25.4,6.9547771899,0.022108281,0.049435619300000004,0.4452083801,0
25.38,11.6520677452,0.0223128464,0.049893041400000004,0.348671634,0
28.2,9.2822181056,0.0060891262,0.0136157002,0.2485030588,0
26.8,8.5385506282,0.0116025908,0.0259441818,0.1525814617,0
26.78,5.5073892796,0.0117099483,0.0261842403,0.1726845866,0
24.43,6.6096310587,0.0345585074,0.0772751717,0.086902098,0
19.47,17.855915184,0.3392774354,0.7586474087,0.151310397,1
25.21,22.9292237263,0.0241298697,0.0539560289,0.4988794431,0
25.66,16.3659605618,0.0196134944,0.043857106800000004,0.4897928524,0
26.0,6.751708511,0.0167708462,0.0375007522,0.3353350703,0
23.33,7.1359769735,0.057352846400000004,0.1282448632,0.4913135252,0
24.14,8.2841135138,0.0394961694,0.0883161196,0.0733649398,0
21.87,12.1669509022,0.1123453177,0.2512117673,0.0772445262,1
20.46,17.9783163789,0.21505769,0.4808836139,0.3728094899,0
27.4,9.4319777736,0.0088014652,0.019680674500000002,0.2749567574,0
29.5,6.466434908,0.0033462237,0.0074823838,0.4099150412,0
23.21,26.4929380349,0.0606114923,0.1355314169,0.4832632306,0
24.3,10.6055649342,0.0366906138,0.0820427065,0.2225630152,0
22.0,37.8763092063,0.1058168859,0.23661375010000002,0.4880201025,1
25.8,15.3946576158,0.018388867200000002,0.0411187571,0.3683155471,0
27.1,6.4342506141,0.010105434200000001,0.0225964377,0.316569412,0
22.17,7.0166509333,0.09784868120000001,0.2187963027,0.0689590056,0
23.7,18.0555496528,0.0483676488,0.1081533507,0.3623326794,0
22.1,12.6521407158,0.1010543415,0.2259643771,0.0336383501,0
16.17,9.4992774363,1.5507970871999999,3.4676877062,0.3554194905,0
25.9,7.1167756541,0.0175612318,0.0392681082,0.1173666857,0
20.79,6.1112866766,0.1847374636,0.41308552660000003,0.1481598708,1
22.64,11.9697384022,0.07880521830000001,0.1762138252,0.1264432574,0
28.1,10.0309393629,0.006376097900000001,0.0142573883,0.135950612,0
28.2,3.9657292228,0.0060891262,0.0136157002,0.1966548296,0
26.28,8.4440190426,0.014741951500000001,0.0329640056,0.0511719556,0
23.9,13.4527055857,0.04411182,0.09863702810000001,0.3323782585,0
24.4,9.7017607768,0.0350392641,0.0783501764,0.2690770748,0
22.84,5.4729888902,0.0718712133,0.1607089186,0.12600253,0
23.16,9.0363840001,0.0620233153,0.1386883492,0.3518980061,0
30.7,19.8909520992,0.0019255508,0.0043056624,0.1394867664,0
24.8,13.9174644301,0.029144390500000002,0.0651688382,0.2479295647,0
22.93,26.9308590916,0.06895328740000001,0.154184238,0.370808823,0
25.1,10.3783417796,0.025383702900000003,0.0567596853,0.2601757329,0
24.9,8.5570378488,0.0278326768,0.0622357573,0.1709919197,0
23.92,5.5630880343,0.0437074004,0.0977327184,0.4994458953,0
24.7,12.6848335398,0.0305179233,0.0682401509,0.0752956929,0
31.008,1.8695976481,0.0016709174,0.0037362848,0.0010743856,0
20.05,21.5089476691,0.2597496533,0.5808178820000001,0.1968344733,0
